country_code,currency_code,full_price,gender,image_URL,item_URL,price,product_category,product_code,product_name,product_subcategory
GBR,GBP,1790,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/1e1a0ed9-1bdf-4cb4-abc0-37dccea71d0f/ihqstx/std/500x0/EMBROIDERED-WOOL-JUMPER?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-embroidered-wool-sweater-BKC53K8DF_U48,1790,READY-TO-WEAR,BKC53K8DF_U48,EMBROIDERED WOOL JUMPER,KNITWEAR
GBR,GBP,2550,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/09482465-1c4f-4b9a-8a48-297e371b9230/ihqstx/std/500x0/MEDIUM-ROMAN-STUD-THE-SHOULDER-BAG-IN-NAPPA-WITH-CHAIN?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-medium-roman-stud-the-shoulder-bag-in-nappa-with-chain-WB0I82BSF_GF9,2550,BAGS,WB0I82BSF_GF9,MEDIUM ROMAN STUD THE SHOULDER BAG IN NAPPA WITH CHAIN,SHOULDER-BAGS
GBR,GBP,2750,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/c308c269-1e95-4b01-ba43-cf00a8dfe285/ihqstx/std/500x0/MEDIUM-ROMAN-STUD-THE-SHOULDER-BAG-IN-NAPPA-WITH-CHAIN-AND-TONE-ON-TONE-STUDS?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-medium-roman-stud-the-shoulder-bag-in-nappa-with-chain-and-tone-on-tone-studs-WB0I82LWB_0NO,2750,BAGS,WB0I82LWB_0NO,MEDIUM ROMAN STUD THE SHOULDER BAG IN NAPPA WITH CHAIN AND TONE-ON-TONE STUDS,SHOULDER-BAGS
GBR,GBP,2550,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/3819dda5-0fc9-473d-8be6-7528c894e172/ihqstx/std/500x0/MEDIUM-ROMAN-STUD-THE-SHOULDER-BAG-IN-DENIM-WITH-CHAIN?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-medium-roman-stud-the-shoulder-bag-in-denim-with-chain-WB0I82CEK_854,2550,BAGS,WB0I82CEK_854,MEDIUM ROMAN STUD THE SHOULDER BAG IN DENIM WITH CHAIN,SHOULDER-BAGS
GBR,GBP,2550,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/cbfc9370-28de-4488-9a08-dc9b15b0eec1/ihqstx/std/500x0/MEDIUM-ROMAN-STUD-THE-SHOULDER-BAG-IN-NAPPA-WITH-CHAIN?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-medium-roman-stud-the-shoulder-bag-in-nappa-with-chain-WB0I82BSF_098,2550,BAGS,WB0I82BSF_098,MEDIUM ROMAN STUD THE SHOULDER BAG IN NAPPA WITH CHAIN,SHOULDER-BAGS
GBR,GBP,2550,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/15c4d5ce-4bf5-452c-a36b-f6c929376c6b/ihqstx/std/500x0/MEDIUM-ROMAN-STUD-THE-SHOULDER-BAG-IN-NAPPA-WITH-CHAIN?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-medium-roman-stud-the-shoulder-bag-in-nappa-with-chain-WB0I82BSF_0NO,2550,BAGS,WB0I82BSF_0NO,MEDIUM ROMAN STUD THE SHOULDER BAG IN NAPPA WITH CHAIN,SHOULDER-BAGS
GBR,GBP,2450,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/684f7e3b-a8a0-41b9-9c30-272728a1c463/ihqstx/std/500x0/STRETCHED-VISCOSE-SWEATER-WITH-FEATHERS-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-stretched-viscose-jumper-with-feathers--BKC54M8F0_0NO,2450,READY-TO-WEAR,BKC54M8F0_0NO,STRETCHED VISCOSE SWEATER WITH FEATHERS ,KNITWEAR
GBR,GBP,3550,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/328b6491-63fb-48f6-a369-6853e2c3057c/ihqstx/std/500x0/TOILE-ICONOGRAPHE-MIDI-DRESS-IN-SILK-JACQUARD-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-midi-dress-in-toile-iconographe-jacquard-silk--BVA7E67TK_W02,3550,READY-TO-WEAR,BVA7E67TK_W02,TOILE ICONOGRAPHE MIDI DRESS IN SILK JACQUARD ,DRESSES
GBR,GBP,1290,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/7a33a33b-ecb9-4b24-9063-fa281796039d/ihqstx/std/500x0/TOILE-ICONOGRAPHE-COTTON-POPELINE-JACQUARD-BLOUSE-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-toile-iconographe-cotton-popeline-jacquard-blouse--BAB5W98H0_0BO,1290,READY-TO-WEAR,BAB5W98H0_0BO,TOILE ICONOGRAPHE COTTON POPELINE JACQUARD BLOUSE ,SHIRTS-%26-TOPS
GBR,GBP,1850,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/d9a8c571-23e3-4c9c-86a5-d61db17fa4d2/ihqstx/std/500x0/WOOL-JUMPER-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-wool-sweater--BKC54J8EP_A03,1850,READY-TO-WEAR,BKC54J8EP_A03,WOOL JUMPER ,KNITWEAR
